"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.68.54","192.168.71.255","UDP","86","57621  >  57621 Len=44"
"2","0.955066","192.168.68.54","162.159.133.234","TLSv1.2","108","Application Data"
"3","0.955306","192.168.68.54","157.240.223.60","TLSv1.2","124","Application Data"
"4","0.955669","192.168.68.54","54.173.95.250","TLSv1.2","1410","Application Data"
"5","0.961329","192.168.68.54","142.250.186.100","TCP","54","55893  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1025 Len=0"
"6","0.962356","192.168.68.54","80.69.96.12","DNS","82","Standard query 0xeae0 A felix.hs-furtwangen.de"
"7","0.963380","192.168.68.54","80.69.96.12","DNS","82","Standard query 0xa7cd HTTPS felix.hs-furtwangen.de"
"8","0.964993","192.168.68.54","45.60.76.225","TLSv1.2","3091","Application Data"
"9","0.965351","192.168.68.54","45.60.76.225","TLSv1.2","93","Application Data"
"10","0.965621","192.168.68.54","45.60.76.225","TLSv1.2","1127","Application Data"
"11","0.967311","192.168.68.54","80.69.96.12","DNS","75","Standard query 0x46cf A bam.nr-data.net"
"12","0.967813","192.168.68.54","80.69.96.12","DNS","75","Standard query 0xd99e HTTPS bam.nr-data.net"
"13","0.986417","162.159.133.234","192.168.68.54","TCP","54","443  >  53363 [ACK] Seq=1 Ack=55 Win=8 Len=0"
"14","1.001131","45.60.76.225","192.168.68.54","TCP","54","443  >  55886 [ACK] Seq=1 Ack=1421 Win=501 Len=0"
"15","1.001131","142.250.186.100","192.168.68.54","TCP","54","443  >  55893 [ACK] Seq=1 Ack=2 Win=279 Len=0"
"16","1.005047","80.69.96.12","192.168.68.54","DNS","98","Standard query response 0xeae0 A felix.hs-furtwangen.de A 217.28.108.237"
"17","1.005047","45.60.76.225","192.168.68.54","TCP","54","443  >  55886 [ACK] Seq=1 Ack=3038 Win=495 Len=0"
"18","1.005047","45.60.76.225","192.168.68.54","TCP","54","443  >  55886 [ACK] Seq=1 Ack=3077 Win=495 Len=0"
